filename,x_center,y_center,width,height,confidence
02500.jpg,0.11922062188386917,0.5859772562980652,0.07152526825666428,0.49406012892723083,0.6862642765045166
02501.jpg,0.11960048228502274,0.5841742753982544,0.07402694970369339,0.4899718761444092,0.6840123534202576
02502.jpg,0.11526554077863693,0.35630908608436584,0.08016514033079147,0.4326572120189667,0.6920788884162903
02503.jpg,0.11602628976106644,0.35570043325424194,0.08040954172611237,0.43326690793037415,0.7083330154418945
02504.jpg,0.11552251875400543,0.35648998618125916,0.0781743973493576,0.454562783241272,0.7141289710998535
02505.jpg,0.11574143916368484,0.3567923903465271,0.078443743288517,0.4464447796344757,0.7214688658714294
02506.jpg,0.1155507043004036,0.35956546664237976,0.06838538497686386,0.501963198184967,0.7641568183898926
02507.jpg,0.12153109163045883,0.43526265025138855,0.05923233553767204,0.5794388055801392,0.7643994092941284
02508.jpg,0.12146779149770737,0.435332328081131,0.05911863595247269,0.5774571895599365,0.7648251056671143
02509.jpg,0.12105119228363037,0.4350394904613495,0.058720238506793976,0.5833345055580139,0.7633537650108337
02510.jpg,0.12149488180875778,0.4342113733291626,0.05992855504155159,0.573941707611084,0.760887086391449
02511.jpg,0.12169986218214035,0.4339323043823242,0.06105181574821472,0.5580859184265137,0.7568334341049194
02512.jpg,0.11641570180654526,0.35832104086875916,0.06911086291074753,0.47899526357650757,0.7511438727378845
02513.jpg,0.1214347779750824,0.4339565634727478,0.061768461018800735,0.5535753965377808,0.7492793798446655
02514.jpg,0.11644141376018524,0.3580223321914673,0.07156350463628769,0.4882415235042572,0.7454230785369873
02515.jpg,0.11647811532020569,0.35777541995048523,0.0751613974571228,0.4925272762775421,0.7427577972412109
02516.jpg,0.1163373738527298,0.3579469919204712,0.07742231339216232,0.4975975751876831,0.7437325716018677
02517.jpg,0.11620307713747025,0.35815495252609253,0.0785965695977211,0.48980847001075745,0.7352129220962524
02518.jpg,0.11678244173526764,0.3577771484851837,0.07679188251495361,0.49682095646858215,0.727469801902771
02519.jpg,0.11619505286216736,0.35675519704818726,0.07603438943624496,0.4835379421710968,0.7252598404884338
02520.jpg,0.11648264527320862,0.3570825159549713,0.0804085060954094,0.4510074853897095,0.7177543640136719
02521.jpg,0.11708136647939682,0.358005166053772,0.0857507511973381,0.42754602432250977,0.7083010673522949
02522.jpg,0.11564458161592484,0.35665857791900635,0.08659638464450836,0.4502711296081543,0.7047141194343567
02523.jpg,0.11522087454795837,0.3574801981449127,0.08232314884662628,0.46140405535697937,0.7151721119880676
02524.jpg,0.26477426290512085,0.7437194585800171,0.07164192199707031,0.49138757586479187,0.720172643661499
02525.jpg,0.11554578691720963,0.3575822710990906,0.08218159526586533,0.47569701075553894,0.7186244130134583
02526.jpg,0.11545170098543167,0.3577573895454407,0.08064605295658112,0.4622499942779541,0.7240068316459656
02527.jpg,0.1152694895863533,0.35769733786582947,0.08066635578870773,0.47165945172309875,0.7238126397132874
02528.jpg,0.11549566686153412,0.357482373714447,0.0822046548128128,0.475586861371994,0.7202837467193604
02529.jpg,0.1149979755282402,0.3575267195701599,0.08196951448917389,0.4746861457824707,0.7226142883300781
02530.jpg,0.11534984409809113,0.3575592637062073,0.08284776657819748,0.46244120597839355,0.7279455065727234
02531.jpg,0.11584754288196564,0.3570384383201599,0.08331679552793503,0.4691232442855835,0.723816990852356
02532.jpg,0.11586614698171616,0.3569435775279999,0.08434567600488663,0.4669265151023865,0.7224690914154053
